# Force       
# CofR        : (4.000000e-01 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              4.113536e+03 -6.750988e+03 8.052503e+03 4.062297e+03 -6.751553e+03 8.053475e+03 5.123882e+01 5.650570e-01 -9.710987e-01
2              4.332600e+03 -6.798009e+03 7.539138e+03 4.227070e+03 -6.801011e+03 7.544997e+03 1.055302e+02 3.001949e+00 -5.858979e+00
3              4.211245e+03 -6.591293e+03 7.213208e+03 4.035196e+03 -6.599784e+03 7.221827e+03 1.760487e+02 8.490412e+00 -8.619109e+00
4              3.970968e+03 -6.328845e+03 7.471783e+03 3.716115e+03 -6.340232e+03 7.481371e+03 2.548534e+02 1.138716e+01 -9.588472e+00
5              3.734411e+03 -6.088779e+03 8.029011e+03 3.402588e+03 -6.101472e+03 8.040098e+03 3.318232e+02 1.269287e+01 -1.108768e+01
6              3.466526e+03 -5.884651e+03 8.637573e+03 3.126134e+03 -5.896668e+03 8.648677e+03 3.403917e+02 1.201661e+01 -1.110413e+01
7              3.184992e+03 -5.686473e+03 9.168892e+03 2.847251e+03 -5.697722e+03 9.179641e+03 3.377413e+02 1.124803e+01 -1.074875e+01
8              2.911126e+03 -5.506610e+03 9.544695e+03 2.582152e+03 -5.517281e+03 9.554871e+03 3.289743e+02 1.067104e+01 -1.017608e+01
9              2.663986e+03 -5.344061e+03 9.907752e+03 2.342781e+03 -5.354338e+03 9.917317e+03 3.212056e+02 1.027650e+01 -9.565409e+00
10             2.443225e+03 -5.201068e+03 1.024614e+04 2.128524e+03 -5.210972e+03 1.025509e+04 3.147014e+02 9.903707e+00 -8.946677e+00
11             2.244958e+03 -5.074612e+03 1.056309e+04 1.935768e+03 -5.084073e+03 1.057158e+04 3.091904e+02 9.460851e+00 -8.484453e+00
12             2.069300e+03 -4.963915e+03 1.086260e+04 1.764981e+03 -4.972914e+03 1.087086e+04 3.043193e+02 8.998833e+00 -8.253958e+00
13             1.912913e+03 -4.866618e+03 1.114627e+04 1.613016e+03 -4.875158e+03 1.115447e+04 2.998966e+02 8.540753e+00 -8.202829e+00
14             1.772734e+03 -4.780626e+03 1.141633e+04 1.476894e+03 -4.788726e+03 1.142457e+04 2.958398e+02 8.100412e+00 -8.239916e+00
15             1.647296e+03 -4.704816e+03 1.167658e+04 1.355214e+03 -4.712494e+03 1.168488e+04 2.920815e+02 7.678593e+00 -8.308394e+00
16             1.535901e+03 -4.638538e+03 1.193022e+04 1.247328e+03 -4.645807e+03 1.193859e+04 2.885722e+02 7.269040e+00 -8.372546e+00
17             1.437787e+03 -4.581122e+03 1.217938e+04 1.152506e+03 -4.587987e+03 1.218780e+04 2.852808e+02 6.865206e+00 -8.419372e+00
18             1.351897e+03 -4.531769e+03 1.242567e+04 1.069700e+03 -4.538230e+03 1.243412e+04 2.821969e+02 6.461523e+00 -8.450630e+00
19             1.277058e+03 -4.489640e+03 1.266996e+04 9.977468e+02 -4.495693e+03 1.267843e+04 2.793111e+02 6.053220e+00 -8.471702e+00
20             1.212111e+03 -4.453925e+03 1.291180e+04 9.354912e+02 -4.459563e+03 1.292029e+04 2.766193e+02 5.638042e+00 -8.487530e+00
21             1.155968e+03 -4.423876e+03 1.314995e+04 8.818600e+02 -4.429093e+03 1.315845e+04 2.741083e+02 5.216810e+00 -8.500682e+00
22             1.107647e+03 -4.398817e+03 1.338269e+04 8.358759e+02 -4.403610e+03 1.339120e+04 2.717714e+02 4.792535e+00 -8.512797e+00
23             1.066351e+03 -4.378168e+03 1.360830e+04 7.967335e+02 -4.382540e+03 1.361682e+04 2.696170e+02 4.371585e+00 -8.524400e+00
24             1.031398e+03 -4.361415e+03 1.382521e+04 7.637394e+02 -4.365376e+03 1.383375e+04 2.676583e+02 3.960597e+00 -8.535252e+00
25             1.002211e+03 -4.348111e+03 1.403223e+04 7.363062e+02 -4.351676e+03 1.404078e+04 2.659047e+02 3.564805e+00 -8.545719e+00
26             9.783116e+02 -4.337890e+03 1.422850e+04 7.139603e+02 -4.341078e+03 1.423706e+04 2.643513e+02 3.188148e+00 -8.556536e+00
27             9.592563e+02 -4.330421e+03 1.441355e+04 6.962632e+02 -4.333255e+03 1.442212e+04 2.629930e+02 2.834513e+00 -8.568443e+00
28             9.446414e+02 -4.325403e+03 1.458740e+04 6.828200e+02 -4.327910e+03 1.459599e+04 2.618213e+02 2.506869e+00 -8.582001e+00
